Pref	Name
Chlpad1	Absidia_padenii_NRRL_2977
Absrep1	Absidia_repens_NRRL_1336
Amac	Allomyces_macrogynus_ATCC_38327
G230	Apophysomyces_elegans_B7760
G229	Apophysomyces_trapeziformis_B9324
Artol1	Arthrobotrys_oligospora_ATCC_24927.Artol1
Bacci1	Backusella_circina_FSU_941
N168	Basidiobolus_heterosporus_B8920
N161	Basidiobolus_meristosporus_B9252
Basme2finSC	Basidiobolus_meristosporus_CBS_931.73
Batde5	Batrachochytrium_dendrobatidis_JAM81
Bade	Bifiguratus_adelaidae_AZ0501
Blatri1	Blakeslea_trispora_NRRL_2456
Calth2	Calcarisporiella_thermophila_CBS279
CSTE	Capniomyces_stellatus_MIS-10-108
Catan2	Catenaria_anguillulae_PL171
Cirumb1	Circinella_umbellata_NRRL_1351
Coere1	Coemansia_reversa_NRRL_1564
N154	Cokeromyces_recurvatus_B5483
Cokrec1	Cokeromyces_recurvatus_NRRL_2243
Conco1	Conidiobolus_coronatus_NRRL_28638
N159	Conidiobolus_incongruus_B7586
Conth1	Conidiobolus_thromboides_FSU_785
Ccin	Coprinopsis_cinerea_okayama7_130
Cneo	Cryptococcus_neoformans_JEC21
G680	Cunninghamella_bertholletiae_175
Cunech1	Cunninghamella_echinulata_NRRL_1382
DimcrSC1	Dimargaris_cristalligena_RSA_468
Exova1	Exobasidium_vaccinii_MPITM
Fenlin1	Fennellomyces_sp_T-0311
FBOO	Furculomyces_boomerangus_AUS-77-4
Gilper1	Gilbertella_persicaria_var._persicaria_CBS_190.32-T
Ganpr1	Gonapodya_prolifera_JEL478
Gonbut1	Gongronella_butleri_CBS_227.36
Hesve2finisherSC	Hesseltinella_vesiculosa_NRRL_3301
Kircor1	Kirkomyces_cordense_RSA_1222
G678	Lichtheimia_corymbifera_008-049
Lichy1	Lichtheimia_hyalospora_FSU_10163
N163	Lichtheimia_ramosa_B5792
Linpe1	Linderina_pennispora_ATCC_12442
Lobtra1	Lobosporangium_transversale_NRRL_3116
Marpt1	Martensiomyces_pterosporus_CBS_209.56
Mvio	Microbotryum_violaceum_p1A1_Lamole
Mixos1	Mixia_osmundae_IAM_14324
N164	Mortierella_alpina_B6842
Morel2	Mortierella_elongata_AG-77
Mormul1	Mortierella_multidivaricata_RSA_2152T
Mver	Mortierella_verticillata_NRRL_6337
G226	Mucor_circinelloides_B8987
Mucci2	Mucor_circinelloides_CBS277.49
N157	Mucor_indicus_B7402
N155	Mucor_racemosus_B9645
N156	Mucor_racemosus_B9738
G224	Mucor_velutinous_B5328
Mycafr1	Mycotypha_africana_NRRL_2978.Mycafr1
Ncra	Neurospora_crassa_OR74A
Parpar1	Parasitella_parasitica_NRRL_2501
Phaart1	Phascolomyces_articulosus_RSA_2281
Phybl2	Phycomyces_blakesleeanus_NRRL_1555
Pilano1	Pilaira_anomala_RSA_1997
Pipcy3_1	Piptocephalis_cylindrospora
Pucst1	Puccinia_striiformis_f_sp_tritici_PST-130.Pucst1
Radspe1	Radiomyces_spectabilis_NRRL_2753
Rambr1	Ramicandelaber_brevisporus_CBS_109374
Rhihy1	Rhizoclosmatium_globosum_primary
N167	Rhizomucor_variabilis_B7584
Gloin1	Rhizophagus_irregularis_DAOM_181602
IGS-99-880	Rhizopus_delemar_99-880.IGS-99-880
Rdel	Rhizopus_delemar_RA_99-880
Rhimi_ATCC11559_1	Rhizopus_microsporus_ATCC_11559
G671	Rhizopus_oryzae_99-133
G670	Rhizopus_oryzae_NRRL_21396
G232	Rhizopus_stolonifer_B9770
Rall	Rozella_allomycis_CSF55
Scer	Saccharomyces_cerevisiae_S288C.vR64-2-1
N171	Saksenaea_oblongisporus_B3353
G233	Saksenaea_vasiformis_B4078
Spom	Schizosaccharomyces_pombe_972h-.vASM294v2
SANG	Smittium_angustum_AUS-126-30
AYI70	Smittium_culicis_ARSEF_9010
SMEG	Smittium_megazygosporum_SC-DP-2
AYI68	Smittium_mucronatum_ARSEF_9090
SSIM	Smittium_simulii_SWE_8-4
Spifus1	Spinellus_fusiger_NRRL_22323
Spun	Spizellomyces_punctatus_DAOM_BR117
Synrac1	Syncephalastrum_racemosum_NRRL_2496
Synfus1	Syncephalis_fuscata_S228
Synplu1	Syncephalis_plumigaleata_S24
Synps1	Syncephalis_pseudoplumigaleata_S71-1
Tapde1_1	Taphrina_deformans.Tapde1_1
Thaele1	Thamnidium_elegans
Thasp1	Thamnocephalis_sphaerospora_RSA_1356
N165	Umbelopsis_isabellina_B7317
Umbra1	Umbelopsis_ramanniana_AG_#
Umbsp_AD052_1	Umbelopsis_sp_AD052
Umay	Ustilago_maydis_521
Ylip	Yarrowia_lipolytica_CLIB122
AX774	Zancudomyces_culisetae_ARSEF_9012
Zycmex1	Zychaea_mexicana_RSA_1403
Zyghet1	Zygorhynchus_heterogamous_NRRL_1489
